tarih,yil,baslik,ana_tema,ikincil_temalar,ozet,anahtar_kelimeler
28.06.2023,2023,KURBAN BAYRAMI: KARDEŞLİK VE YARDIMLAŞMA GÜNLERİ,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, Kurban Bayramı sabahının huzur ve mutluluk günü olduğunu, kurbanın Allah'a yakınlaşma ve takva kazanma vesilesi olduğunu anlatır. Bayramın sıla-i rahim, affetme, yetim ve yaşlıları ziyaret etme ve kardeşlik bağlarını güçlendirme fırsatı olduğu vurgulanır. Hutbe, kurbanların ehil kişilerce kesilmesi ve çevre temizliğine dikkat edilmesi tavsiyesiyle sona erer.",kurban bayramı; bayram namazı; sıla-i rahim; teşrik tekbirleri; kardeşlik; kurban kesimi
30.06.2023,2023,ÇOCUKLARIMIZIN ÜZERİMİZDE HAKKI,"Aile, Çocuk ve Nesil",Kur'an-ı Kerim,"Hutbe, çocukların anne babalar üzerinde hakkı olduğunu, onlara helal lokma yedirmenin, iyi eğitim vermenin ve İslam ahlakıyla yetiştirmenin öncelikli görev olduğunu anlatır. Yaz Kur'an kurslarının çocukların tatilini faydalı geçirmesi için önemli bir fırsat sunduğu vurgulanır. Hutbe, çocukların yaz Kur'an kurslarına davet edilmesiyle ve Kur'an öğrenmenin faziletini bildiren bir hadisle sona erer.",çocuk hakları; yaz kur'an kursu; çocuk eğitimi; fıtrat; anne baba sorumluluğu; kur'an öğrenimi
07.07.2023,2023,EVLİLİKLERİMİZ KOLAY OLSUN,"Aile, Çocuk ve Nesil",,"Hutbe, evliliğin Peygamberimizin sünneti ve toplumun temeli olduğunu, külfet değil bereket taşıdığını anlatır. Günümüzde düğünlerde yapılan aşırı harcamaların aileleri borca soktuğu, oysa asıl olanın tevazu ve sadelik olduğu vurgulanır. Hutbe, vekaletle kurban kesim organizasyonunun başarısı ve yaz Kur'an kurslarının başladığı bilgisiyle sona erer.",evlilik; nikah; düğün israfı; aile kurumu; mahremiyet; vekaletle kurban
14.07.2023,2023,"DİN SAMİMİYETTİR, İSTİSMAR İHANETTİR","Ahlak, Erdem ve Söz","Vatan, Millet ve Tarih; Kandiller, Muharrem ve Mübarek Geceler","Hutbe, dinin özünün samimiyet olduğunu, istismarın ise insanların inanç ve duygularını çıkar için kullanmak anlamına gelen bir ihanet olduğunu anlatır. İstismarcıların kendilerini hakkın temsilcisi gibi göstererek toplumu ifsat ettiği, 15 Temmuz FETÖ darbe girişiminin bu istismarın acı bir örneği olduğu vurgulanır. Hutbe, dini sahih kaynaklardan öğrenme çağrısı ve hicri yılbaşının ümmetin birliğine vesile olması duasıyla sona erer.",samimiyet; istismar; 15 temmuz; fetö; hicri yılbaşı; din istismarı
21.07.2023,2023,HİCRET: İDEALLER UĞRUNA ÇIKILAN KUTLU BİR SEFER,Peygamberimiz ve Ashab,"Sabır, Tevekkül ve Manevi Olgunluk; Afet, Kriz ve Sağlık","Hutbe, hicretin sıradan bir göç olmadığını, Allah rızası uğruna dünyevi beklentileri terk ederek çıkılan kutlu bir yolculuk olduğunu anlatır. Hicretin amacının erdemli, huzurlu ve barış içinde yaşayan bir toplum inşa etmek olduğu vurgulanır. Hutbe, orman yangınlarına karşı dikkatli olma uyarısı ve fidan dikme çağrısıyla sona erer.",hicret; hicri yılbaşı; orman yangınları; çevre bilinci; hz. ömer; istikamet
28.07.2023,2023,MUHARREM AYININ ÖNEMİ VE EHL-İ BEYT-İ MUSTAFA,"Kandiller, Muharrem ve Mübarek Geceler",,"Hutbe, Muharrem ayının faziletini ve bu ayda yaşanan Kerbelâ hadisesinin İslam tarihindeki hüzünlü yerini anlatır. Kerbelâ'nın adaletsizliğe karşı onurlu bir duruşun sembolü olduğu, Hz. Hüseyin ve Ehl-i Beyt'in temsil ettiği değerlerin kin değil birlik ve kardeşliğe vesile kılınması gerektiği vurgulanır. Hutbe, Kerbelâ şehitlerinin ve tüm şehitlerin rahmetle anılmasıyla sona erer.",muharrem ayı; aşure günü; kerbela; ehl-i beyt; hz. hüseyin; mezhep birliği
04.08.2023,2023,CUMA: HAFTALIK BAYRAM GÜNÜMÜZ,İbadet ve Kulluk,,"Hutbe, Cuma gününün müminlerin haftalık bayramı olduğunu, ezan okunduktan sonra alışverişin bırakılıp namaza koşulması gerektiğini anlatır. Cuma namazını kasıtlı olarak terk etmenin kalbin mühürlenmesine sebep olacağı, hutbe dinlerken sessiz kalmanın adap olduğu vurgulanır. Hutbe, iş yerlerinde ve okullarda Cuma vaktine göre düzenleme yapılması çağrısıyla sona erer.",cuma namazı; hutbe adabı; ibadet özgürlüğü; haftalık bayram; namaz vakti düzenlemesi
11.08.2023,2023,SILA-İ RAHİM: RAHMET VE BEREKET VESİLEMİZ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil","Hutbe, sıla-i rahimin ailemiz, akrabalarımız ve komşularımızla ilişkilerimizi canlı tutmak, aramayanı arayıp gelmeyene gitmek anlamına geldiğini anlatır. Teknolojinin gelişmesine rağmen insanların birbirinden uzaklaştığı, yalnız kalan anne babaların ve akrabaların ihmal edildiği vurgulanır. Hutbe, sıla-i rahimin Allah ile bağ kurmanın bir yolu olduğunu bildiren bir hadisle sona erer.",sıla-i rahim; akrabalık bağları; yalnızlık; anne baba hakkı; komşuluk; dijital çağda ilişkiler
18.08.2023,2023,AHİRET: EBEDİ YURDUMUZ,"İman, Tevhid ve Ahiret",,"Hutbe, dünyanın geçici, ahiretin ise ebedi yurdumuz olduğunu; kıyamet gününde amellerin mizanda tartılacağını anlatır. Ahirete iman eden müminin komşusuna eziyet etmediği, misafirine ikramda bulunduğu ve kul hakkından sakındığı vurgulanır. Hutbe, dünya hayatının aldatıcılığına karşı uyarı ve ahiret için hazırlık yapma çağrısıyla sona erer.",ahiret inancı; hesap günü; mizan; amel defteri; dünya hayatının geçiciliği; kul hakkı
25.08.2023,2023,ALLAH’IN YARDIMI AZİZ MİLLETİMİZLE BERABERDİR,"Vatan, Millet ve Tarih",,"Hutbe, Allah'ın yardımının tarih boyunca hakkı ve adaleti savunan aziz millete eşlik ettiğini; Malazgirt, Çanakkale, Milli Mücadele ve Büyük Taarruz zaferlerinin bunun şahidi olduğunu anlatır. Vatan sevgisiyle dolu, şehadete hazır nesiller yetiştirmenin en büyük ideal olduğu vurgulanır. Hutbe, şehit ve gazilerin rahmetle anılması, ordu ve güvenlik güçlerine dua edilmesiyle sona erer.",malazgirt zaferi; çanakkale zaferi; milli mücadele; büyük taarruz; vatan sevgisi; şehitlik
01.09.2023,2023,SAKIN İNCİTME BİR CÂNI!,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,"Hutbe, İslam'a göre ırk, renk ve cinsiyet farkı gözetmeksizin her insanın değerli ve hürmete layık olduğunu, üstünlüğün sadece takvada olduğunu anlatır. Bilal-i Habeşî ile Ebû Zer arasındaki olay üzerinden ayrımcılığın cahiliye izi taşıdığı, suçun şahsiliği ilkesinin gözetilmesi gerektiği vurgulanır. Hutbe, birbirimizin hak ve hukukuna saygı gösterme ve kardeşlik çağrısıyla sona erer.",ırkçılık karşıtlığı; insan onuru; eşitlik; bilal-i habeşi; ayrımcılık; suçun şahsiliği
08.09.2023,2023,"İLİM YOLU, CENNET YOLUDUR","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",,"Hutbe, ilim öğrenmenin her Müslüman'a farz olduğunu, ilmin insanlığın faydasına ve Allah'ın rızasına yönelik olduğunda değer kazandığını anlatır. Cehaletin İslam'ın en büyük düşmanı olduğu, ilim yolunun cennet yolu olduğu vurgulanır. Hutbe, yeni eğitim öğretim yılının ve Kur'an kurslarının başlaması vesilesiyle öğrencilere ve öğretmenlere hayır duasıyla sona erer.",ilim; eğitim öğretim yılı; kur'an kursu; cehalet; alak suresi; öğretmenlik
15.09.2023,2023,AHÎLİK: DÜRÜSTLÜK VE MERHAMETİ TİCARETE HÂKİM KILMAK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,"Hutbe, İslam'ın ticaret hayatında helal-haram duyarlılığı, doğruluk ve merhameti şart koştuğunu; karaborsacılık, fırsatçılık ve aldatmanın haram olduğunu anlatır. Ahîlik teşkilatının eline, diline ve beline sahip olma ilkesiyle dürüstlüğü ticarete hakim kıldığı vurgulanır. Hutbe, 2024 yılı Hac ön kayıtlarının başladığı bilgisiyle sona erer.",ahilik; helal kazanç; ticaret ahlakı; aldatma; karaborsacılık; hac ön kayıt
22.09.2023,2023,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler","Hutbe, Mevlid Gecesi'nin Peygamberimizin dünyaya teşrifinin yıl dönümü olduğunu, onun şefkat ve merhametin çekildiği bir dönemde insanlığa rehber olarak geldiğini anlatır. Kur'an ve sünnetin birbirinden ayrılmaz bir bütün olduğu, Allah'a itaatin Peygambere tabi olmaktan geçtiği vurgulanır. Hutbe, Mevlid-i Nebi Haftası'nın Peygamberimiz, İman ve İstikamet temasıyla kutlanacağı bilgisiyle sona erer.",mevlid-i nebi; hz. muhammed; mevlid kandili; sünnet; peygamber sevgisi
29.09.2023,2023,"PEYGAMBERİMİZ, İMAN VE İSTİKAMET","Ahlak, Erdem ve Söz",Peygamberimiz ve Ashab,"Hutbe, İslam'ın gönderiliş gayesinin erdemli bir toplum inşa etmek olduğunu, imanın insanı özgürleştirdiğini ve istikametin özle sözün bir olması anlamına geldiğini anlatır. İmanda, ibadette ve ahlakta istikametin Peygamberimizin örnekliğinde hayata geçirilmesi gerektiği vurgulanır. Hutbe, istikamet sahibi müminlere korku ve hüzün olmayacağını bildiren bir ayetle sona erer.",istikamet; iman; ahlak; samimiyet; kul hakkı; riyasızlık
06.10.2023,2023,"CAMİLER  VE DİN GÖREVLİLERİ: HAYRIN ANAHTARI, ŞERRİN KİLİDİ",İbadet ve Kulluk,,"Hutbe, camilerin Allah'ın evleri ve İslam medeniyetinin simgesi olduğunu, din görevlilerinin ise Kur'an'ı ve Peygamberimizin ahlakını topluma aktaran kişiler olduğunu anlatır. Diyanet İşleri Başkanlığı'nın cami merkezli hizmetle hastanelerden yurtlara kadar geniş bir alanda faaliyet gösterdiği vurgulanır. Hutbe, Camiler ve Din Görevlileri Haftası ile Hac ön kayıt hatırlatmasıyla sona erer.",camiler; din görevlileri haftası; diyanet işleri başkanlığı; din hizmetleri; hac ön kayıt
13.10.2023,2023,ZULÜMLE ÂBÂD OLUNMAZ,İslam Coğrafyası ve Küresel Meseleler,,"Hutbe, İslam'ın adalet ve merhamet dini olduğunu, savaşta dahi kadın, çocuk ve yaşlılara zarar verilmemesi gerektiğini anlatırken Gazze'de yaşanan zulmü gündeme getirir. İsrail'in Filistin topraklarında yıllardır süregelen işgal ve ablukasının masum sivillere büyük acılar yaşattığı, zulmün ebedi olamayacağı vurgulanır. Hutbe, Filistinli kardeşlere destek olma çağrısı ve mazlumlar için edilen dua ile sona erer.",filistin; gazze; zulüm; işgal; mescid-i aksa; mazlumlara destek
20.10.2023,2023,RAHMET VE SEKİNET MÜJDESİ: İNŞİRÂH SURESİ,İslam Coğrafyası ve Küresel Meseleler,,"Hutbe, İnşirâh suresinin Peygamberimize zorluk zamanında müjde ve ferahlık getirdiğini, her zorluğun ardından mutlaka bir kolaylık geleceğini anlatır. Bugün Gazze'de yaşanan büyük zulmün de bu ilahi müjdeyle birlikte değerlendirilmesi, müminlerin tembellik ve rehavete kapılmadan çalışması gerektiği vurgulanır. Hutbe, Allah'ın yardımının müminlerle beraber olduğu ayetiyle sona erer.",inşirah suresi; gazze; filistin; sabır; zorluk sonrası kolaylık; soykırım
27.10.2023,2023,VATAN MİLLET SEVDASIYLA NİCE YÜZYILLARA,"Vatan, Millet ve Tarih",,"Hutbe, Cumhuriyetin 100. yıl dönümü vesilesiyle milli mücadelenin imanla ve birlik ruhuyla kazanıldığını, vatanın şehitlerin emaneti olduğunu anlatır. Filistin'de yaşanan zulmün, yüz yıl önce milli mücadelede yaşanan acılara benzediği, zalime destek olmaktan kaçınılması gerektiği vurgulanır. Hutbe, Filistinli kardeşlere Cuma namazı sonrası yardım toplanacağı duyurusu ve şehitlerin anılmasıyla sona erer.",cumhuriyetin 100. yılı; milli mücadele; vatan sevgisi; filistin; istiklal marşı; birlik beraberlik
03.11.2023,2023,ZULME RIZA GÖSTERMEK ZULÜMDÜR,İslam Coğrafyası ve Küresel Meseleler,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, Gazze'de yaşanan soykırıma dünyanın sessiz kalmasının zulme rıza göstermek anlamına geldiğini, bunun da bizzat zulüm sayıldığını anlatır. Ümmetin dağınıklığının zalimlere cesaret verdiği, herkesin elinden geldiğince kötülüğe engel olma sorumluluğu taşıdığı vurgulanır. Hutbe, sabır ve zafer dileyen bir dua ile sona erer.",zulme rıza; gazze; filistin; ümmet birliği; soykırım; kötülüğe engel olma
10.11.2023,2023,AZİM VE GAYRET SAHİBİ BİR MÜMİN OLABİLMEK,"Ahlak, Erdem ve Söz",,"Hutbe, Peygamberimizin davasından hiçbir zaman vazgeçmediğini, müminlerin de azim ve gayret sahibi olması gerektiğini anlatır. Azmin davaya bağlı kalma kararlılığı, gayretin ise bu azmi hayata geçirme çabası olduğu; tembellik ve gevşekliğin mümine yakışmadığı vurgulanır. Hutbe, azim ve gayretle çalışanların emeğinin zayi olmayacağını bildiren bir ayetle sona erer.",azim ve gayret; çalışma ahlakı; tembellik; sorumluluk bilinci; filistin
17.11.2023,2023,"İMAN, İBADET VE AHLAK BÜTÜNLÜĞÜ","Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret; İbadet ve Kulluk","Hutbe, İslam'ın iman, ibadet ve ahlaktan oluşan bir bütün olduğunu, bu üçünün birbirini tamamladığını bir ağaç benzetmesiyle anlatır. İmanın sadece söz değil sorumluluk bilinciyle yaşanan bir hal olduğu, ibadetlerin imanın hayata yansıması, ahlakın ise imanı kemale erdiren unsur olduğu vurgulanır. Hutbe, güzel ahlakla süslenmiş sağlam bir iman dileyen bir dua ile sona erer.",iman ibadet ahlak; kul hakkı; salih amel; ahlak bütünlüğü; şükür
24.11.2023,2023,"İSLAM, ŞEFKAT VE MERHAMETİ EMREDER","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İslam Coğrafyası ve Küresel Meseleler; Aile, Çocuk ve Nesil","Hutbe, İslam'ın şefkat ve merhamet dini olduğunu, Peygamberimizin şiddetin yerine şefkati inşa ettiğini anlatır. Günümüzde ailede, işte ve trafikte şiddetin arttığı, özellikle kadın, çocuk ve yaşlıların bundan etkilendiği; Gazze'deki soykırımın da bu şiddetin en acı örneği olduğu vurgulanır. Hutbe, öğretmenlerin şefkat aşılama rolüne dikkat çekilip anılmasıyla sona erer.",şefkat ve merhamet; aile içi şiddet; gazze; öğretmenler günü; kul hakkı ihlali
01.12.2023,2023,"İNSAN, ÖZÜ İTİBARİYLE DEĞERLİDİR","Toplumsal Dayanışma, Merhamet ve Kardeşlik",İslam Coğrafyası ve Küresel Meseleler,"Hutbe, insanın değerinin dış görünüşünde değil akıl, irade ve kalbinde olduğunu, Peygamberimizin engelli sahabilere de önemli görevler verdiğini anlatır. Asıl engelliliğin hakkı görmemek ve duymamak olduğu, engelli bireylerin ve ailelerinin desteklenmesi gerektiği vurgulanır. Hutbe, Gazze'deki soykırıma karşı dua çağrısıyla sona erer.",engelli hakları; insan onuru; eşitlik; abdullah b. ümmü mektum; gazze; kolaylaştırma
08.12.2023,2023,"BİZ, TEK BİR ÜMMETİZ","Toplumsal Dayanışma, Merhamet ve Kardeşlik",,"Hutbe, Selmân-ı Fârisî ve Hz. Ömer örneği üzerinden üstünlüğün soyda değil takvada olduğunu, ümmet-i Muhammed'in tek bir ümmet olduğunu anlatır. Ümmetin bugün parçalanmış olmasının zalimlere cesaret verdiği, Filistin'de yaşanan zulmün ümmetin dağınıklığından beslendiği vurgulanır. Hutbe, İslam kardeşliğinin esas alınması çağrısıyla sona erer.",ümmet birliği; selman-ı farisi; ırkçılık karşıtlığı; filistin; kardeşlik; tefrika
15.12.2023,2023,ADALET: HER HAK SAHİBİNE HAKKINI VERMEK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","İslam Coğrafyası ve Küresel Meseleler; İman, Tevhid ve Ahiret","Hutbe, adaletin her hak sahibine hakkını vermek olduğunu, Allah'ın el-Adl isminin bu değerin kaynağı olduğunu anlatır. Adaletin aile, ticaret ve toplumsal ilişkilerde gözetilmesi gerektiği, bugün zalimlerin adalet iddiasıyla zulüm yaydığı, özellikle Gazze örneğinde bunun görüldüğü vurgulanır. Hutbe, kıyamet gününde kurulacak adalet terazisini bildiren bir ayetle sona erer.",adalet; el-adl; gazze; ticaret ahlakı; aile içi adalet; mizan
22.12.2023,2023,MÜMİNLERİN EBEDİ YURDU: CENNET,"Sabır, Tevekkül ve Manevi Olgunluk","Ahlak, Erdem ve Söz; İman, Tevhid ve Ahiret","Hutbe, cennetin müminlerin ebedi yurdu ve dünya imtihanını sabırla aşanları bekleyen huzur yeri olduğunu anlatır. Cennete girmenin doğruluk, emanete riayet, iffet ve güzel ahlak gibi erdemlerle mümkün olduğu; küçük iyiliklerin dahi cennete vesile olabileceği vurgulanır. Hutbe, cenneti ve ona yaklaştıracak amelleri isteyen bir dua ile sona erer.",cennet; ahiret; salih amel; güzel ahlak; iyilik; sabır
29.12.2023,2023,MUHASEBE BİLİNCİYLE BİR ÖMÜR GEÇİRMEK,"İman, Tevhid ve Ahiret","Vatan, Millet ve Tarih; Ekonomik Hayat: Kazanç, Zekat ve İsraf","Hutbe, yılın sonunda insanın kendini hesaba çekmesi gerektiğini, ömür defterinin her sayfasının iyilik veya kötülükle dolduğunu anlatır. Yılbaşı eğlenceleri, alkol ve kumar gibi dinimizde yeri olmayan alışkanlıklardan uzak durulması gerektiği, yakın zamanda yaşanan terör saldırısı vesilesiyle şehitlerin anılması vurgulanır. Hutbe, şehitlere rahmet ve millete sabır dileyen bir dua ile sona erer.",muhasebe bilinci; yılbaşı kutlamaları; hesap günü; terör saldırısı; alkol ve kumar; tövbe
05.01.2024,2024,RAHMET VE MAĞFİRET İKLİMİ: ÜÇ AYLAR,"Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","Hutbe, üç ayların Allah'ın rahmet ve mağfiretini müminlere sağanak sağanak yağdırdığı mübarek bir zaman dilimi olduğunu anlatır. Bu ayların tövbe, muhasebe ve kulluk ahdini yenileme fırsatı sunduğu, ibadetlerin belli günlere hasredilmemesi gerektiği vurgulanır. Hutbe, Sarıkamış şehitlerinin anılması ve milletin bahtiyar olması duasıyla sona erer.",üç aylar; recep ayı; regaib gecesi; tövbe; sarıkamış şehitleri; mağfiret
12.01.2024,2024,ALLAH’IN RAHMET VE İNAYETİNE SIĞINMANIN ADI: EÛZÜ-BESMELE,İbadet ve Kulluk,"Kandiller, Muharrem ve Mübarek Geceler; Vatan, Millet ve Tarih","Hutbe, Eûzü-Besmele'nin şeytanın şerrinden Allah'a sığınma ve işlere Allah'ın adıyla başlama anlamı taşıdığını anlatır. Peygamberimizin hayatının her anında bu sığınmayı örnek aldığı, besmelesiz başlanan işlerin bereketsiz kalacağı vurgulanır. Hutbe, Peygamberimizin sığındığı şeylerden sığınma ve istediklerini isteme duasıyla sona erer.",eûzü besmele; recep ayı; şeytandan sığınma; bereket; dua
19.01.2024,2024,"BİZİ GÜÇLÜ KILAN, BİRLİK VE BERABERLİĞİMİZDİR","Vatan, Millet ve Tarih","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, farklı coğrafya ve dillere rağmen tüm Müslümanların kardeş olduğunu, birlik ve beraberliğin gücün kaynağı olduğunu anlatır. Fitne çıkarmak isteyenlere karşı din, vatan ve mukaddesat etrafında kenetlenilmesi gerektiği, yakın zamanda yaşanan terör saldırısında şehit olanların anılması vurgulanır. Hutbe, hakkın geldiği bâtılın yok olduğunu bildiren bir ayetle ve şehitlere dua ile sona erer.",birlik ve beraberlik; terör saldırısı; kardeşlik; filistin; şehitlik; fitne
26.01.2024,2024,MÜLK SÛRESİNDEN MESAJLAR,İslam Coğrafyası ve Küresel Meseleler,"Sabır, Tevekkül ve Manevi Olgunluk; İman, Tevhid ve Ahiret","Hutbe, Mülk suresinin Allah'ın mutlak kudretini, dünyanın bir imtihan yurdu olduğunu ve kâinatın eşsiz düzeninin O'nun varlığına delil olduğunu anlattığını aktarır. Surenin müminlere büyük bir mükâfat vaat ettiği, mazlumların çığlıklarına seyirci kalınmaması gerektiği vurgulanır. Hutbe, Allah'ın kudretiyle yaşadığımızı ifade eden bir dua ile sona erer.",mülk suresi; imtihan; kudret; gazze; boykot; ölüm ve hayat
02.02.2024,2024,"RABBİMİZ, MÜMİNLERİ YALNIZ VE YARDIMSIZ BIRAKMAZ",İslam Coğrafyası ve Küresel Meseleler,"Afet, Kriz ve Sağlık; Kandiller, Muharrem ve Mübarek Geceler","Hutbe, Kahramanmaraş depremlerinin yıl dönümü vesilesiyle milletin dayanışma göstererek büyük bir kardeşlik destanı yazdığını, deprem kuşağında yaşamanın tedbir alma sorumluluğu yüklediğini anlatır. Aynı hafta idrak edilecek Miraç Gecesi'nin ve işgal altındaki Mescid-i Aksâ'nın öneminin hatırlatıldığı, Gazze'deki zulmün sürdüğü vurgulanır. Hutbe, Amenerrasûlü ayetlerindeki dualarla sona erer.",kahramanmaraş depremi; miraç kandili; mescid-i aksa; deprem tedbirleri; gazze; dayanışma
09.02.2024,2024,HAYATI DEĞERLİ KILAN ÖLÇÜ: İMAN,"Vatan, Millet ve Tarih","Peygamberimiz ve Ashab; İman, Tevhid ve Ahiret","Hutbe, imanın Allah'a, meleklere, kitaplara, peygamberlere ve ahirete inanmak olduğunu, davranışlara yansıdığında gerçek anlamına ulaştığını anlatır. İmanın dile zikir, göze iffet, aileye sevgi olarak yansıdığı; Çanakkale ve Kurtuluş Savaşı'nda olduğu gibi bugün Gazze'de direnenlerin de imandan güç aldığı vurgulanır. Hutbe, iman ile ilgili bir Kur'an duasıyla sona erer.",iman; çanakkale zaferi; kurtuluş savaşı; gazze direnişi; ahlak; salih amel
16.02.2024,2024,DÜNYAYI BARIŞ VE İTİDALE ÇAĞIRIYORUZ,İslam Coğrafyası ve Küresel Meseleler,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hutbe, İslam'ın barış dini olduğunu, Allah'ın es-Selâm isminin barışın kaynağı olduğunu anlatır. Müslümanın zulme rıza gösteremeyeceği, Gazze ve Refah'ta yaşanan katliamların insanlığın izzetini çiğnediği, Doğu Türkistan'da da zulmün sürdüğü vurgulanır. Hutbe, Erzincan'daki göçük kazası için dua edilmesi ve barışın yeniden hakim olması temennisiyle sona erer.",barış; gazze; refah; doğu türkistan; erzincan göçük; zulme rıza
23.02.2024,2024,BERAT GECESİ: GÜNAHLARDAN ARINMA VESİLESİ,İslam Coğrafyası ve Küresel Meseleler,"İman, Tevhid ve Ahiret; Kandiller, Muharrem ve Mübarek Geceler","Hutbe, Berat Gecesi'nin ömür muhasebesi yapmayı, kin ve nefretten arınmayı hatırlatan bir gece olduğunu anlatır. Bu gecenin tövbe ve dua gecesi olduğu, Allah'ın kullarının tövbesine büyük bir sevinçle karşılık verdiği vurgulanır. Hutbe, Gazze ve Doğu Türkistan başta olmak üzere tüm mazlumlar için edilen dua ile sona erer.",berat gecesi; tövbe; dua; af ve mağfiret; gazze; doğu türkistan
01.03.2024,2024,ZARARLI ALIŞKANLIKLARIN ESİRİ OLMAYALIM,"Afet, Kriz ve Sağlık","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Hutbe, İslam'ın din, can, akıl, nesil ve mal emniyetini korumayı emrettiğini, alkol, kumar ve uyuşturucunun bu emniyeti zedeleyen zararlı alışkanlıklar olduğunu anlatır. Gençlerin özenti ve arkadaş çevresi yoluyla madde bağımlılığına sürüklendiği, dijital bağımlılığın da mahremiyeti ve kul hakkını zedelediği vurgulanır. Hutbe, Ramazan öncesi Gazze ve Doğu Türkistan için dua çağrısıyla sona erer.",alkol; kumar; uyuşturucu bağımlılığı; dijital bağımlılık; zararlı alışkanlıklar; gençlik
08.03.2024,2024,RAMAZAN GELİYOR! HAZIR MIYIZ?,"Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler; Ekonomik Hayat: Kazanç, Zekat ve İsraf","Hutbe, Ramazan'ın Kur'an, oruç ve yardımlaşma ayı olduğunu, müminlerin bu mübarek aya hazır olup olmadıklarını sorgulamaya çağırdığını anlatır. Ramazan'ın kavgadan, kin ve nefretten arınma, zekat ve sadakayla paylaşma vesilesi olduğu, ancak Kudüs, Gazze ve Doğu Türkistan'da zulmün sürdüğü vurgulanır. Hutbe, Ramazan'da oruç tutup teravih kılanların günahlarından arınacağını bildiren bir hadisle sona erer.",ramazan ayı; oruç; teravih; zekat ve sadaka; gazze; kur'an ayı
15.03.2024,2024,"ORUÇ, BEDENİMİZE SIHHAT, GÖNLÜMÜZE SEKİNET VERİR",İslam Coğrafyası ve Küresel Meseleler,"Ramazan, Oruç ve Bayramlar; Vatan, Millet ve Tarih","Bu hutbe, orucun sadece açlık-susuzluk olmayıp akıl, kalp, dil, el ve ayağı da kapsayan bütünsel bir arınma ibadeti olduğunu anlatır. Orucun; iftar-sahur sofralarını ihtiyaç sahiplerine açmayı ve Gazze ile Doğu Türkistan'daki mazlumların acısını hissetmeyi de gerektirdiği vurgulanır. Hutbe, Çanakkale Zaferi'nin yıl dönümü vesilesiyle şehit ve gazilerin anılmasıyla ve devlet-millet için dua ile sona erer.",oruç; ramazan; sekinet; gazze; doğu türkistan; çanakkale zaferi; helal kazanç
22.03.2024,2024,RAMAZAN VE AHİRET BİLİNCİ,"İman, Tevhid ve Ahiret",,"Hutbe, dünya hayatının geçiciliğine karşın ahiretin ebedi oluşuna dikkat çekerek ahiret bilincinin Müslümanın hayatına yön veren temel unsur olduğunu işler. Ahiret bilincine sahip bir müminin dengeli, güvenilir, dürüst ve zulme rıza göstermeyen bir kişilik sergileyeceği anlatılır. Kapanışta Allah'ın uyarısı hatırlatılarak dünya hayatının aldatıcılığına karşı uyanık olunması istenir.",ahiret bilinci; iman; hesap günü; itidal; dürüstlük; zulme rıza göstermemek
29.03.2024,2024,KARDEŞLİĞİMİZ ZEKÂTLA BEREKETLENSİN,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,"Bu hutbe zekâtın İslam'ın beş esasından biri olarak zenginler için bir mecburiyet olduğunu ve toplumsal kardeşliği pekiştiren bir ibadet olduğunu anlatır. Zekâtın hem malı bereketlendirdiği hem de mazlum ve muhtaçlara umut taşıdığı vurgulanarak Türkiye Diyanet Vakfı'nın zekât toplama kampanyasına dikkat çekilir. Hutbe, hayır yolunda vefat edenlere rahmet ve yaşayanlara bereketli bir ömür dileğiyle biter.",zekât; kardeşlik; türkiye diyanet vakfı; infak; yoksula yardım; bereket
05.04.2024,2024,KADİR GECESİ: KUR’AN’LA AYDINLANAN GECE,İslam Coğrafyası ve Küresel Meseleler,"Afet, Kriz ve Sağlık; İbadet ve Kulluk","Kadir Gecesi'nin Kur'an'ın indirilmeye başladığı, bin aydan hayırlı bir gece olduğu anlatılan bu hutbede Kur'an'ın Burhan, Hakîm, Furkân, Zikir ve Mübîn gibi isimleri üzerinden taşıdığı anlamlar işlenir. Kadir Gecesi'nin bir fırsat bilinerek Kur'an'ın hayata yansıtılması ve çocuklara öğretilmesi öğütlenir. Hutbe, bayram namazına ve Gazzeli mazlumlar için duaya davetle, ayrıca trafik güvenliği uyarısıyla sona erer.",kadir gecesi; kur'an; ramazan bayramı; gazze; trafik güvenliği; dua
